beginn,ende,seminare_id,standorte_id
2024-01-08,2024-01-19,23,1
2024-01-08,2024-01-19,5,3
2024-01-08,2024-01-19,15,1
2024-01-15,2024-01-26,7,2
2024-01-15,2024-01-26,12,1
2024-01-15,2024-01-26,28,2
2024-01-22,2024-02-02,19,3
2024-01-22,2024-02-02,31,1
2024-01-22,2024-02-02,14,2
2024-02-05,2024-02-16,9,3
2024-02-05,2024-02-16,18,2
2024-02-05,2024-02-16,26,1
2024-02-12,2024-02-23,3,3
2024-02-12,2024-02-23,17,1
2024-02-12,2024-02-23,10,2
2024-02-19,2024-03-01,21,3
2024-02-19,2024-03-01,8,1
2024-02-19,2024-03-01,19,1
2024-02-19,2024-03-01,27,1
2024-03-04,2024-03-15,13,1
2024-03-04,2024-03-15,30,3
2024-03-04,2024-03-15,14,3
2024-03-04,2024-03-15,16,2
2024-03-11,2024-03-22,24,3
2024-03-11,2024-03-22,2,2
2024-03-11,2024-03-22,11,2
2024-03-18,2024-03-29,1,1
2024-03-18,2024-03-29,22,2
2024-03-18,2024-03-29,20,3
2024-03-18,2024-03-29,32,3
2024-04-01,2024-04-12,6,1
2024-04-01,2024-04-12,25,2
2024-04-01,2024-04-12,29,3
2024-04-08,2024-04-19,4,1
2024-04-08,2024-04-19,15,2
2024-04-08,2024-04-19,23,3
2024-04-15,2024-04-26,7,1
2024-04-15,2024-04-26,12,2
2024-04-15,2024-04-26,28,3
2024-05-06,2024-05-17,9,2
2024-05-06,2024-05-17,18,1
2024-05-06,2024-05-17,26,2
2024-05-13,2024-05-24,3,1
2024-05-13,2024-05-24,17,1
2024-05-13,2024-05-24,32,1
2024-05-13,2024-05-24,10,3
2024-05-20,2024-05-31,21,2
2024-05-20,2024-05-31,8,3
2024-05-20,2024-05-31,5,2
2024-05-20,2024-05-31,27,3
2024-06-03,2024-06-14,13,1
2024-06-03,2024-06-14,31,2
2024-06-03,2024-06-14,30,2
2024-06-03,2024-06-14,16,3
2024-06-10,2024-06-21,24,1
2024-06-10,2024-06-21,2,1
2024-06-10,2024-06-21,11,1
2024-06-17,2024-06-28,1,3
2024-06-17,2024-06-28,22,3
2024-06-17,2024-06-28,20,1
2024-07-01,2024-07-12,6,1
2024-07-01,2024-07-12,25,1
2024-07-01,2024-07-12,29,2
2024-07-08,2024-07-19,4,3
2024-07-08,2024-07-19,15,3
2024-07-08,2024-07-19,23,2
2024-07-15,2024-07-26,7,3
2024-07-15,2024-07-26,12,3
2024-07-15,2024-07-26,14,1
2024-07-15,2024-07-26,28,1
2024-08-05,2024-08-16,9,3
2024-08-05,2024-08-16,18,1
2024-08-05,2024-08-16,26,2
2024-08-12,2024-08-23,3,1
2024-08-12,2024-08-23,17,2
2024-08-12,2024-08-23,10,1
2024-08-19,2024-08-30,21,2
2024-08-19,2024-08-30,8,2
2024-08-19,2024-08-30,27,1
2024-09-02,2024-09-13,13,1
2024-09-02,2024-09-13,30,3
2024-09-02,2024-09-13,16,2
2024-09-09,2024-09-20,24,1
2024-09-09,2024-09-20,2,3
2024-09-09,2024-09-20,32,2
2024-09-09,2024-09-20,11,3
2024-09-16,2024-09-27,1,3
2024-09-16,2024-09-27,22,1
2024-09-16,2024-09-27,20,3
2024-10-07,2024-10-18,6,2
2024-10-07,2024-10-18,25,3
2024-10-07,2024-10-18,29,1
2024-10-14,2024-10-25,4,2
2024-10-14,2024-10-25,31,3
2024-10-14,2024-10-25,15,2
2024-10-14,2024-10-25,23,1
2024-10-21,2024-11-01,7,1
2024-10-21,2024-11-01,12,3
2024-10-21,2024-11-01,28,2
2024-11-04,2024-11-15,9,1
2024-11-04,2024-11-15,18,3
2024-11-04,2024-11-15,26,3
2024-11-11,2024-11-22,3,2
2024-11-11,2024-11-22,17,3
2024-11-11,2024-11-22,5,1
2024-11-11,2024-11-22,10,1
2024-11-18,2024-11-29,21,1
2024-11-18,2024-11-29,8,2
2024-11-18,2024-11-29,27,2
2024-12-02,2024-12-13,13,2
2024-12-02,2024-12-13,30,1
2024-12-02,2024-12-13,16,1
2024-12-09,2024-12-20,24,3
2024-12-09,2024-12-20,19,2
2024-12-09,2024-12-20,2,3
2024-12-09,2024-12-20,11,2
2024-12-16,2024-12-27,1,1
2024-12-16,2024-12-27,22,2
2024-12-16,2024-12-27,20,2
